key_word	frequency
review_ass_play	15119
review_breast_play	13543
review_finger_kitty	9059
review_kissing	7518
review_hand_job	5150
review_lick_kitty	4930
review_sex	4743
review_prostate_massage	4330
review_hand_jobreview_blow_job	3194
review_hand_jobreview_sex	1746
review_hand_jobreview_breast_play	1524
review_hand_jobreview_prostate_massage	1388
review_hand_jobreview_lick_kitty	1196
review_blow_job	950
review_hand_jobreview_kissing	885
review_hand_jobreview_finger_kitty	645
review_hand_jobreview_ass_play	546
review_breast_playreview_blow_job	102
review_hand_jobreview_hand_job	90
review_ass_playreview_blow_job	55
review_breast_playreview_breast_play	54
review_breast_playreview_sex	44
review_breast_playreview_lick_kitty	39
review_breast_playreview_prostate_massage	36
review_breast_playreview_kissing	25
review_ass_playreview_breast_play	23
review_ass_playreview_sex	22
review_ass_playreview_prostate_massage	21
review_ass_playreview_lick_kitty	19
review_breast_playreview_finger_kitty	17
review_ass_playreview_kissing	16
review_breast_playreview_ass_play	11
review_ass_playreview_finger_kitty	6
review_ass_playreview_ass_play	5
review_breast_playreview_hand_job	3
review_ass_playreview_hand_job	2
review_finger_kittyreview_blow_job	1
review_lick_kittyreview_breast_play	1
