key_word,frequency
review_hand_job,209
review_breast_play,205
review_finger_kitty,145
review_ass_play,125
review_kissing,122
review_sex,93
review_prostate_massage,86
review_lick_kitty,84
review_blow_job,39
review_ass_playreview_blow_job,34
review_ass_playreview_prostate_massage,15
review_ass_playreview_lick_kitty,15
review_ass_playreview_sex,9
review_ass_playreview_hand_job,6
review_ass_playreview_breast_play,5
review_hand_jobreview_blow_job,4
review_ass_playreview_kissing,4
review_ass_playreview_finger_kitty,3
review_hand_jobreview_prostate_massage,1
review_breast_playreview_hand_job,1
review_ass_playreview_ass_play,1
